NAICS_TITLE,2013 TOT_EMP,2013 A_MEAN,2013 MEAN_PRSE,2013 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","404,040",26200,0.8,19610
"Mining, Quarrying, and Oil and Gas Extraction","807,130",61690,1.2,47990
Utilities,"544,310",68680,0.7,66030
Construction,"5,797,170",49540,0.2,41830
Manufacturing,"11,983,290",47830,0.4,37690
Wholesale Trade,"5,701,640",52870,0.3,39690
Retail Trade,"15,195,950",30100,0.2,22980
Transportation and Warehousing,"5,081,510",45170,0.4,40110
Information,"2,700,210",65980,1.5,54320
Finance and Insurance,"5,586,790",63300,0.4,46390
Real Estate and Rental and Leasing,"1,966,480",42320,0.4,32940
"Professional, Scientific, and Technical Services","8,018,890",74190,0.2,60310
Management of Companies and Enterprises,"2,130,720",74930,0.5,60480
Administrative and Support and Waste Management and Remediation Services,"8,285,760",35320,0.3,26960
Educational Services,"12,706,550",50600,0.4,44140
Health Care and Social Assistance,"18,059,100",48960,0.2,35690
"Arts, Entertainment, and Recreation","1,991,510",33940,0.5,23910
Accommodation and Food Services,"12,081,130",23040,0.2,19180
Other Services (except Public Administration),"3,865,410",37260,0.3,28480
"Federal, State, and Local Government (excluding state and local schools and hospitals)","9,681,240",54940,0.2,47580
